Make,Model,Year,Mileage,Engine size,Fuel type,Transmission,Condition,Drive type,Horsepower,Torque,Acceleration,Body type,Seats,Price,Condition_Original
Subaru,Impreza,2010.0,105000.0,1500.0,petrol,automatic,4.5,fwd,115.0,156.0,10.0,hatchback,5.0,,
Daihatsu,Mira Es,2014.0,75000.0,660.0,petrol,automatic,4.5,fwd,150.0,200.0,10.0,hatchback,4.0,,
Nissan,Note,2014.0,115000.0,1190.0,petrol,automatic,4.5,fwd,94.0,147.0,10.0,hatchback,5.0,,
Toyota,Noah,2005.0,184000.0,2000.0,petrol,automatic,4.5,awd,150.0,192.0,11.0,wagon,8.0,,
Honda,Freed Hybrid,2012.0,159000.0,1490.0,petrol hybrid,automatic,4.5,fwd,150.0,200.0,10.0,mini van,6.0,,
Honda,Fit,2010.0,116000.0,1330.0,petrol,automatic,4.5,fwd,102.0,133.5,11.0,hatchback,5.0,,
Honda,Fit,2010.0,122000.0,1330.0,petrol,automatic,4.5,fwd,102.0,133.5,11.0,hatchback,5.0,,
Nissan,Note,2013.0,39000.0,1190.0,petrol,automatic,4.5,fwd,87.5,123.5,11.75,hatchback,5.0,,
Toyota,Vitz,2008.0,146000.0,990.0,petrol,automatic,4.5,fwd,107.0,147.0,10.0,hatchback,5.0,,
Honda,Fit,2012.0,145000.0,1300.0,petrol,automatic,4.5,fwd,125.5,154.5,9.95,hatchback,5.0,,
Bmw,Mini,2007.0,126000.0,1590.0,petrol,automatic,4.5,fwd,150.0,200.0,10.0,hatchback,4.0,,
Nissan,Note,2014.0,101000.0,1200.0,petrol,automatic,4.5,fwd,94.0,147.0,10.0,hatchback,5.0,,
Mitsubishi,Ek Wagon,2007.0,47000.0,650.0,petrol,automatic,4.5,fwd,49.0,57.0,12.0,wagon,4.0,,
Honda,Fit,2011.0,135000.0,1330.0,petrol,automatic,4.5,fwd,115.5,133.5,10.0,hatchback,5.0,,
Bmw,3 Series,2007.0,77000.0,1990.0,petrol,automatic,4.5,fwd,150.0,200.0,10.0,station wagon,5.0,,
Honda,Freed Hybrid,2013.0,227000.0,1490.0,petrol hybrid,automatic,4.5,fwd,150.0,200.0,10.0,mini van,6.0,,
Nissan,Note,2014.0,93000.0,1190.0,petrol,automatic,4.5,fwd,94.0,147.0,10.0,hatchback,5.0,,
Nissan,Note,2014.0,49000.0,1190.0,petrol,automatic,4.5,fwd,94.0,147.0,10.0,hatchback,5.0,,
Mazda,Demio,2012.0,71000.0,1300.0,petrol,automatic,4.5,fwd,94.0,137.0,11.0,hatchback,5.0,,
Honda,Nwgn,2016.0,133000.0,660.0,petrol,automatic,4.5,fwd,115.5,139.5,10.0,wagon,5.0,,
Honda,Fit,2012.0,166000.0,1300.0,petrol,automatic,4.5,fwd,125.5,154.5,9.95,hatchback,5.0,,
Nissan,Note,2013.0,52000.0,1200.0,petrol,automatic,4.5,fwd,87.5,123.5,11.75,hatchback,5.0,,
Nissan,Note,2014.0,77000.0,1190.0,petrol,automatic,4.5,fwd,94.0,147.0,10.0,hatchback,5.0,,
Toyota,Vitz,2006.0,53000.0,990.0,petrol,automatic,4.5,fwd,94.0,102.0,12.0,hatchback,5.0,,
Mazda,Demio,2008.0,161000.0,1340.0,petrol,automatic,4.5,fwd,94.0,137.0,11.0,hatchback,5.0,,
Mazda,Demio,2010.0,117000.0,1340.0,petrol,manual,4.5,fwd,89.5,129.5,10.0,hatchback,5.0,,
Toyota,Passo,2012.0,103000.0,990.0,petrol,automatic,4.5,fwd,71.0,94.0,13.5,hatchback,5.0,,
Nissan,Note,2014.0,88000.0,1190.0,petrol,automatic,4.5,fwd,94.0,147.0,10.0,hatchback,5.0,,
Honda,Fit,2010.0,230000.0,1330.0,petrol,automatic,4.5,fwd,102.0,133.5,11.0,hatchback,5.0,,
Nissan,Note,2014.0,45000.0,1200.0,petrol,automatic,4.5,fwd,94.0,147.0,10.0,hatchback,5.0,,
Honda,Stepwagon,2011.0,155000.0,1990.0,petrol,automatic,4.5,fwd,150.0,190.0,10.0,mini van,8.0,,
Honda,Fit,2010.0,185000.0,1300.0,petrol,automatic,4.5,fwd,102.0,133.5,11.0,hatchback,5.0,,
Honda,Stepwagon Spada,2010.0,171000.0,2000.0,petrol,automatic,4.5,fwd,150.0,200.0,10.0,mini van,8.0,,
Honda,Fit,2010.0,125000.0,1330.0,petrol,automatic,4.5,fwd,102.0,133.5,11.0,hatchback,5.0,,
Honda,Stepwagon Spada,2010.0,211000.0,1990.0,petrol,automatic,4.5,fwd,150.0,200.0,10.0,mini van,8.0,,
Honda,Fit Hybrid,2012.0,90000.0,1330.0,petrol hybrid,automatic,4.5,fwd,150.0,200.0,10.0,hatchback,5.0,,
Nissan,Tiida,2009.0,102000.0,1490.0,petrol,automatic,4.5,fwd,110.0,145.0,11.0,hatchback,5.0,,
Nissan,Bluebird Sylphy,2010.0,72000.0,1990.0,petrol,automatic,4.5,fwd,150.0,200.0,10.0,sedan,5.0,,
Daihatsu,Mira Es,2012.0,116000.0,650.0,petrol,automatic,4.5,fwd,150.0,200.0,10.0,hatchback,4.0,,
Toyota,Bb,2012.0,88000.0,1290.0,petrol,automatic,4.5,fwd,150.0,200.0,10.0,mini van,5.0,,
Honda,Freed,2011.0,120000.0,1490.0,petrol,automatic,4.5,fwd,118.0,148.0,11.0,mini van,8.0,,
Nissan,Note,2014.0,144000.0,1200.0,petrol,automatic,4.5,fwd,94.0,147.0,10.0,hatchback,5.0,,
Nissan,Tiida,2009.0,51000.0,1490.0,petrol,automatic,4.5,fwd,110.0,145.0,11.0,hatchback,5.0,,
Nissan,Note,2014.0,93000.0,1190.0,petrol,automatic,4.5,fwd,94.0,147.0,10.0,hatchback,5.0,,
Subaru,Impreza,2010.0,129000.0,1500.0,petrol,automatic,4.5,fwd,115.0,156.0,10.0,hatchback,5.0,,
Suzuki,Alto,2013.0,131000.0,650.0,petrol,automatic,4.5,fwd,52.0,63.0,16.0,hatchback,4.0,,
