id,model_name,make_name,vehicle_type,name,price,body_type,source,current_location,drive,mileage,color,annual_insurance,year_of_manufacture,torque,fuel_type,engine_size,horse_power,acceleration,transmission,urban_consumption,highway_consumption,availability,purchase_status,condition
3401,Celica,Toyota,Automobile,Toyota Celica,865000,Saloon,Kenyan Used,"Nairobi, Kenya.",2WD,82000,,36000,1999,170,Petrol,1800,143,9,Manual,11,13,sell_on_behalf,Available,Very Good
3400,C200,Mercedes,Automobile,Mercedes Benz C200 /SUNROOF,4699999,Saloon,Foreign Used,High seas,2WD,49000,,202500,2017,350,Petrol,2000,184,9,Automatic,11,13,available,Available,Very Good
3398,E250,Mercedes,Automobile,Mercedes Benz E250,2999999,Saloon,Kenyan Used,"Nairobi, Kenya.",2WD,50000,,135000,2014,350,Petrol,2000,211,7.3,Automatic,11,13,sell_on_behalf,Available,Very Good
3394,Vitz,Toyota,Automobile,Toyota Vitz,1449999,Hatchback,Foreign Used,"Nairobi, Kenya.",2WD,71000,,63000,2015,102,Petrol,1300,94,12,Automatic,16,18,sell_on_behalf,Available,Very Good
3393,Note,Nissan,Automobile,Nissan Note,719999,Hatchback,Kenyan Used,"Nairobi, Kenya.",2WD,159000,,31500,2011,106,Petrol,1200,78,12,Automatic,16,18,sell_on_behalf,Available,Very Good
3392,Note,Nissan,Automobile,Nissan Note Medalist,1299999,Hatchback,Foreign Used,"Nairobi, Kenya.",2WD,46000,,58500,2016,145,Petrol,1200,97,10,Automatic,16,18,sell_on_behalf,Available,Very Good
3391,Forester,Subaru,Automobile,Subaru Forester,3649999,SUV,Foreign Used,"Nairobi, Kenya.",AWD,52000,,157500,2016,196,Petrol,2000,146,8,Automatic,10,12,available,Available,Very Good
3390,Duster,Renault,Automobile,Renault Duster,1449999,SUV,Kenyan Used,"Nairobi, Kenya.",2WD,125000,,63000,2017,195,Petrol,1600,134,11,Automatic,14,16,sell_on_behalf,Available,Very Good
3387,Landcruiser,Toyota,Automobile,Toyota Landcruiser Prado J120,1799999,SUV,Kenyan Used,"Nairobi, Kenya.",4WD,189000,,76500,2005,420,Diesel,3000,178,8,Automatic,9,11,sell_on_behalf,Sold,Very Good
3375,GLC,Mercedes,Automobile,Mercedes Benz GLC 250,6349999,SUV,Foreign Used,"Nairobi, Kenya.",AWD,93000,,270000,2016,350,Petrol,2000,208,6,Automatic,11,13,available,Available,Very Good
3373,Forester,Subaru,Automobile,Subaru Forester 2.0 NA,3249999,SUV,Foreign Used,"Nairobi, Kenya.",AWD,90000,,135000,2016,196,Petrol,2000,146,8,Automatic,10,12,available,Available,Very Good
3372,XC60,Volvo,Automobile,Volvo XC60 D4 'Classic' /SUNROOF,3749999,SUV,Foreign Used,"Nairobi, Kenya.",2WD,118000,,157500,2016,400,Diesel,2000,179,7,Automatic,12,14,available,Available,Very Good
3371,Range Rover Sport,Land rover,Automobile,RANGE ROVER SPORT 3.0L SDV6 / PANO SUNROOF,9699999,SUV,Foreign Used,"Nairobi, Kenya.",4WD,72000,,40500,2016,700,Diesel,3000,302,7.3,Automatic,8,10,sell_on_behalf,Available,Very Good
3370,Probox / Succeed,Toyota,Automobile,Toyota Probox,1149999,Station Wagon,Foreign Used,"Nairobi, Kenya.",2WD,133000,,49500,2016,141,Petrol,1500,109,10,Automatic,14,16,available,Available,Very Good
