Title,Make,Model,Year,Price (Ksh),Fuel Type,Position,Usage,Status,Stock ID,Image URL,Car Link
Toyota fortuner - 2016,Toyota,fortuner,N/A,"KSh6,500,000",Diesel,N/A,foreign,Unsold,E107-1005,https://www.maridadymotors.com/assets/images/sell_car/940c266a1d1ceb67b1ea0e9ef8f32e2f.jpg,https://www.maridadymotors.com/car-details/2/toyota-a1-2016-8809
Toyota rav4 - 2019,Toyota,rav4,N/A,"KSh2,987,576",Petrol,N/A,foreign,Unsold,E107-1003,https://www.maridadymotors.com/assets/images/sell_car/5c3f9a15dfc30bc1d9d77fd584a42caa.jpg,https://www.maridadymotors.com/car-details/2/toyota-a1-2019-8806
Toyota land cruiser prado - 2020,Toyota,land cruiser prado,N/A,"KSh4,500,000",Petrol,N/A,foreign,Unsold,E107-1002,https://www.maridadymotors.com/assets/images/sell_car/8e4b14d87442724e33c3de94ebcc3e10.jpg,https://www.maridadymotors.com/car-details/2/toyota-a1-2020-8805
Mazda cx-5 - 2018,Mazda,cx-5,N/A,"KSh2,150,000",Diesel,N/A,foreign,Unsold,E107-1001,https://www.maridadymotors.com/assets/images/sell_car/391784af34231c39e6a4621cf956ca66.jpg,https://www.maridadymotors.com/car-details/2/mazda-atenza-2018-8804
Toyota succeed - 2017,Toyota,succeed,N/A,"KSh1,500,000",Petrol,N/A,foreign,Unsold,E107-1000,https://www.maridadymotors.com/assets/images/sell_car/88c25d5f83351d2626d7bc96413ef13b.jpg,https://www.maridadymotors.com/car-details/2/toyota-a1-2017-8803
Toyota harrier - 2017,Toyota,harrier,N/A,"KSh3,849,999",Petrol,N/A,foreign,Unsold,E107-999,https://www.maridadymotors.com/assets/images/sell_car/a65bd5706862870b7e8ee44f713ed614.jpg,https://www.maridadymotors.com/car-details/2/toyota-a1-2017-8802
Toyota auris - 2017,Toyota,auris,N/A,"KSh1,949,999",Petrol,N/A,foreign,Unsold,E107-998,https://www.maridadymotors.com/assets/images/sell_car/0ab6a70a7c3d80a946625a7e3cc2da9c.jpg,https://www.maridadymotors.com/car-details/2/toyota-a1-2017-8801
Honda Fit Shuttle - 2017,Honda,Fit Shuttle,N/A,"KSh1,589,999",Petrol,N/A,foreign,Unsold,E107-997,https://www.maridadymotors.com/assets/images/sell_car/5db22df5c36ee1f0d85db56e7813dd8e.jpg,https://www.maridadymotors.com/car-details/2/honda-accord-2017-8800
Audi Q5 - 2017,Audi,Q5,N/A,"KSh4,650,000",Petrol,N/A,foreign,Unsold,E107-996,https://www.maridadymotors.com/assets/images/sell_car/ded535dc0618e6afa589e36333b73fc1.jpg,https://www.maridadymotors.com/car-details/2/audi-a3-2017-8799
Toyota Fielder - 2017,Toyota,Fielder,N/A,"KSh1,799,999",Petrol,N/A,foreign,Unsold,E107-995,https://www.maridadymotors.com/assets/images/sell_car/7d2dba8bdcc7a76b957e550ae99dbdc3.jpg,https://www.maridadymotors.com/car-details/2/toyota-a1-2017-8798
