Make,Model,Year,Fuel Type,Engine,Transmission,Exterior Color,Interior Color,Drive,Mileage,Condition Grade,Interior Grade,Availability
Toyota,Land Cruiser,2016,Petrol,4700-v8   cc,Automatic,Pearl White,Gray,,,4.5,B,In Stock
Nissan,Note,2017,Petrol,1200cc cc,Automatic,Maroon,Gray,,,4.5,B,In Transit
Lexus,Lx,2017,Petrol,5700 cc,Automatic,Black,Gray,4WD,,4.5,B,In Transit
Toyota,Hilux,2018,Diesel,2400cc  cc,Automatic,Black,Gray,4WD,,4.5,B,In Transit
Toyota,Land Cruiser,2017,Petrol,4700-V8 cc,Automatic,Pearl White,Beige,4WD,,4.5,B,In Transit
Toyota,Land Cruiser,2017,Petrol,4700-V8 cc,Automatic,Pearl White,Gray,4WD,,4.5,B,In Transit
Toyota,Land Cruiser,2017,Petrol,4700-V8 cc,Automatic,Pearl White,Gray,4WD,,4.5,B,In Transit
Volkswagen,Touareg,2016,Petrol,3600cc - V6 cc,Automatic,Pearl White,Gray,,,4.5,B,In Transit
Toyota,F J Cruiser,2013,Petrol,4000 cc,Automatic,Blue,Gray,,,4.5,B,In Stock
Toyota,Harrier,2016,Petrol,2000cc  - Valvematic cc,Automatic,Black,Gray,,,4.5,B,In Transit
Toyota,Vitz,2013,Petrol,1300 cc,Automatic,White,Beige,,,4.5,B,In Transit
Toyota,Land Cruiser,2019,Petrol,2700cc - VVT-I cc,Automatic,Black,Beige,,,4.5,B,In Transit
Lexus,Rx200T,2017,Petrol,2000 cc,Automatic,Pearl White,Red,AWD,,4.5,B,In Transit
Lexus,Rx200T,2016,Petrol,2000 cc,Automatic,Black,Brown,AWD,,4.5,B,In Transit
Lexus,Lx,2017,Petrol,5700 cc,Automatic,Pearl White,Gray,4WD,,4.5,B,In Transit
Lexus,Nx200T,2017,Petrol,2000 cc,Automatic,Pearl White,Gray,AWD,,4.5,B,In Transit
Mazda,Demio,2017,Petrol,1200cc cc,Automatic,Silver,Gray,,,4.5,B,In Transit
Mercedes,S400,2014,Petrol,3500 cc,Automatic,Gray,Brown,,,4.5,B,In Transit
Daihatsu,Mira,2017,Petrol,650cc cc,Automatic,White,Beige,FWD,,4.5,,In Stock
Toyota,Land Cruiser,2016,Petrol,4600-V8 cc,Automatic,Pearl White,,,,4.5,A,In Transit
Nissan,Nv,2016,Petrol,1200cc cc,Automatic,White,Gray,,,4.5,B,In Stock
Toyota,Vitz,2013,Petrol,1300 cc,Automatic,Pearl White,Gray,,,4.5,,In Transit
Volkswagen,Golf,2017,Petrol,1400cc  - TSI cc,Automatic,Silver,Gray,,,4.5,B,In Transit
Nissan,Note,2017,Petrol,1200cc cc,Automatic,Blue,Gray,,,4.5,B,In Transit
Lexus,Lx,2016,Petrol,5600 cc,Automatic,Pearl White,Gray,,,4.5,B,In Transit
Toyota,Land Cruiser,2016,,4700cc  - V8 cc,Automatic,Pearl White,Gray,4WD,,4.5,B,In Transit
Nissan,Note,2017,Petrol,1200cc cc,Automatic,Pearl White,Gray,,,4.5,B,In Transit
Mercedes,C200,2017,Petrol,2000cc cc,Automatic,Silver,Gray,,,4.5,B,In Transit
Toyota,Land Cruiser Prado,2018,Petrol,2700cc  - VVT-I cc,Automatic,Pearl White,Brown,,,4.5,B,In Transit
