Make,Model,Year,Mileage,Engine size,Fuel type,Transmission,Condition,Drive type,Horsepower,Torque,Acceleration,Body type,Seats,Price
Lexus,Lx600,2022,3600kms Km,3500 cc,Petrol,Automatic,4.5,4WD,,,,,,
Lexus,Lx600,2022,3000kms Km,3500 cc,Petrol,Automatic,5,4WD,,,,,,
Toyota,Land Cruiser,2017,57000kms Km,4600 cc,Petrol,Automatic,4.5,4WD,,,,,,
Lexus,Lx,2016,10000-kms Km,5700 cc,Petrol,Automatic,4.5,4WD,,,,,,
Toyota,Land Cruiser,2017,16000kms Km,4600 cc,Petrol,Automatic,4.5,4WD,,,,,,
Bmw,X6 Coupe,2016,90000kms Km,3000 cc,Petrol,Automatic,4.5,AWD,,,,,,
Porsche,Cayenne Mini,2017,39000-kms Km,3600 cc,Petrol,Automatic,4.5,AWD,,,,,,
Lexus,Lx,2017,8000-kms Km,5700 cc,Petrol,Automatic,4.5,4WD,,,,,,
Lexus,Lx600,2022,3600-kms Km,3500 cc,Petrol,Automatic,4.5,4WD,,,,,,
Mercedes,S400,2016,45000kms Km,4700 cc,Petrol,Automatic,4.5,AWD,,,,,,
Toyota,Land Cruiser,2017,100kms Km,4700 cc,Petrol,Automatic,4.5,4WD,,,,,,
Toyota,Land Cruiser,2016,100kms Km,4700 cc,Petrol,Automatic,4.5,4WD,,,,,,
Toyota,Land Cruiser,2016,100kms Km,4700 cc,Petrol,Automatic,4.5,4WD,,,,,,
Toyota,Hilux Pickups,2018,37000kms Km,2400 cc,Diesel,Automatic,4.5,4WD,,,,,,
Toyota,Hilux Pickups,2018,22000kms Km,2400 cc,Diesel,Automatic,4.5,4WD,,,,,,
Mercedes,C200,2017,3000kms Km,1800 cc,Petrol,Automatic,5,RWD,,,,,,
Toyota,Hilux Pickups,2018,38000kms Km,2400 cc,Diesel,Automatic,4.5,4WD,,,,,,
Lexus,Rx450H,2017,130000kms Km,3500 cc,Petrol Hybrid,Automatic,4.5,AWD,,,,,,
Porsche,Cayenne Gts,2017,68000kms Km,3600 cc,Petrol,Automatic,4.5,AWD,,,,,,
Bmw,X6 Coupe,2017,47000kms Km,3000 cc,Petrol,Automatic,4.5,AWD,,,,,,
Toyota,Hilux Pickups,2018,52000kms Km,2400 cc,Diesel,Automatic,4.5,4WD,,,,,,
Porsche,Cayenne Mini,2017,75000kms Km,3600 cc,Petrol,Automatic,4.5,,,,,,,
Volkswagen,Tiguan Mini,2017,48000kms Km,1400 cc,Petrol,Automatic,4.5,FWD,,,,,,
Toyota,Land Cruiser Prado,2016,51000kms Km,2800 cc,Diesel,Automatic,4.5,4WD,,,,,,
Toyota,Land Cruiser,2022,92kms Km,3500 cc,Petrol,Automatic,4.5,4WD,,,,,,
Toyota,Fielder,2017,53000kms Km,1500 cc,Petrol,Automatic,4.5,FWD,,,,,,
Lexus,Lx600,2023,3000kms Km,3500 cc,Petrol,Automatic,5,4WD,,,,,,
Toyota,Prius,2017,93000kms Km,1800 cc,Petrol Hybrid,Automatic,4.5,FWD,,,,,,
Volkswagen,Tiguan Mini,2017,54000kms Km,1400 cc,Petrol,Automatic,4.5,FWD,,,,,,
Volkswagen,Passat,2016,33000kms Km,1400 cc,Petrol,Automatic,4.5,FWD,,,,,,
Bmw,X5 Mini,2014,62000kms Km,3000 cc,Diesel,Automatic,4.5,FWD,,,,,,
Toyota,Harrier Mini,2016,94000kms Km,,Petrol,Automatic,4.5,FWD,,,,,,
Subaru,Forester Mini,2019,22000kms Km,2000 cc,Petrol,Automatic,4.5,AWD,,,,,,
Toyota,Land Cruiser Prado,2016,71000kms Km,2800 cc,Diesel,Automatic,4.5,4WD,,,,,,
Toyota,Fielder,2017,65000kms Km,1500 cc,Petrol,Automatic,4.5,FWD,,,,,,
