mileage,year_of_production,horse_power,engine_size,seats,price_ksh,fuel_type,transmission,car_name,body_type,annual_insurance,condition,source
49000kms Km,2017.0,,2400 cc,,,Diesel,Automatic,Unknown,,,4.5,AutoBox Motors
62000kms Km,2018.0,,2400 cc,,,Diesel,Automatic,Unknown,,,4.5,AutoBox Motors
82000kms Km,2017.0,,2200 cc,,,Diesel,Automatic,Unknown,,,4.5,AutoBox Motors
4200 Km,2022.0,,3500 cc,,,Petrol,Automatic,Unknown,,,,AutoBox Motors
32224 Km,2017.0,,3000 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
105000kms Km,2017.0,,1500 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
85000kms Km,2017.0,,1500 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
74000kms Km,2017.0,,2200 cc,,,Diesel,Automatic,Unknown,,,4.5,AutoBox Motors
26000kms Km,2022.0,,3300 cc,,,Diesel,Automatic,Unknown,,,4.5,AutoBox Motors
124000kms Km,2017.0,,1500 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
34000kms Km,2017.0,,2500 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
4800 Km,2023.0,,3500 cc,,,Petrol,Automatic,Unknown,,,5,AutoBox Motors
9300 Km,2023.0,,3500 cc,,,Petrol,Automatic,Unknown,,,6,AutoBox Motors
9300 Km,2021.0,,3300 cc,,,Diesel,Automatic,Unknown,,,5,AutoBox Motors
9600 Km,2021.0,,3300 cc,,,Diesel,Automatic,Unknown,,,6,AutoBox Motors
50980 Km,2017.0,,1400 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
56000kms Km,2017.0,,2000 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
10000-kms Km,2022.0,,3500 cc,,,Petrol,Automatic,Unknown,,,5,AutoBox Motors
10000-kms Km,2017.0,,2000 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
26000kms Km,2022.0,,3300 cc,,,Diesel,Automatic,Unknown,,,4.5,AutoBox Motors
18-kms Km,2024.0,,5700 cc,,,Petrol,Automatic,Unknown,,,5,AutoBox Motors
14000kms Km,2021.0,,3300 cc,,,Diesel,Automatic,Unknown,,,4.5,AutoBox Motors
75000kms Km,2017.0,,4600 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
88500 Km,2018.0,,3000 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
8280 Km,2018.0,,2400 cc,,,Diesel,Automatic,Unknown,,,4.5,AutoBox Motors
78983 Km,2018.0,,3000 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
128139 Km,2017.0,,4700 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
99500 Km,2016.0,,3000 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
3600kms Km,2022.0,,3500 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
3000kms Km,2022.0,,3500 cc,,,Petrol,Automatic,Unknown,,,5,AutoBox Motors
57000kms Km,2017.0,,4600 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
10000-kms Km,2016.0,,5700 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
16000kms Km,2017.0,,4600 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
90000kms Km,2016.0,,3000 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
39000-kms Km,2017.0,,3600 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
8000-kms Km,2017.0,,5700 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
3600-kms Km,2022.0,,3500 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
45000kms Km,2016.0,,4700 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
100kms Km,2017.0,,4700 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
100kms Km,2016.0,,4700 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
100kms Km,2016.0,,4700 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
37000kms Km,2018.0,,2400 cc,,,Diesel,Automatic,Unknown,,,4.5,AutoBox Motors
22000kms Km,2018.0,,2400 cc,,,Diesel,Automatic,Unknown,,,4.5,AutoBox Motors
3000kms Km,2017.0,,1800 cc,,,Petrol,Automatic,Unknown,,,5,AutoBox Motors
38000kms Km,2018.0,,2400 cc,,,Diesel,Automatic,Unknown,,,4.5,AutoBox Motors
130000kms Km,2017.0,,3500 cc,,,Petrol Hybrid,Automatic,Unknown,,,4.5,AutoBox Motors
68000kms Km,2017.0,,3600 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
47000kms Km,2017.0,,3000 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
52000kms Km,2018.0,,2400 cc,,,Diesel,Automatic,Unknown,,,4.5,AutoBox Motors
75000kms Km,2017.0,,3600 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
48000kms Km,2017.0,,1400 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
51000kms Km,2016.0,,2800 cc,,,Diesel,Automatic,Unknown,,,4.5,AutoBox Motors
92kms Km,2022.0,,3500 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
53000kms Km,2017.0,,1500 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
3000kms Km,2023.0,,3500 cc,,,Petrol,Automatic,Unknown,,,5,AutoBox Motors
93000kms Km,2017.0,,1800 cc,,,Petrol Hybrid,Automatic,Unknown,,,4.5,AutoBox Motors
54000kms Km,2017.0,,1400 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
33000kms Km,2016.0,,1400 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
62000kms Km,2014.0,,3000 cc,,,Diesel,Automatic,Unknown,,,4.5,AutoBox Motors
94000kms Km,2016.0,,,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
22000kms Km,2019.0,,2000 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
71000kms Km,2016.0,,2800 cc,,,Diesel,Automatic,Unknown,,,4.5,AutoBox Motors
65000kms Km,2017.0,,1500 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
81000kms Km,2016.0,,2000 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
93000kms Km,2016.0,,3000 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
154000kms Km,2016.0,,1500 cc,,,Petrol Hybrid,Automatic,Unknown,,,4.5,AutoBox Motors
33000kms Km,2017.0,,1400 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
51000kms Km,2017.0,,650 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
40000kms Km,2017.0,,650 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
21000kms Km,2017.0,,3000 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
91000kms Km,2017.0,,2500 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
63000kms Km,2017.0,,1400 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
74000kms Km,2017.0,,650 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
52000kms Km,2017.0,,1000 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
66000kms Km,2018.0,,2800 cc,,,Diesel,Automatic,Unknown,,,4.5,AutoBox Motors
20000kms Km,2017.0,,20001 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
33000kms Km,2017.0,,4700 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
53000kms Km,2017.0,,1200 cc,,,Petrol Hybrid,Automatic,Unknown,,,4.5,AutoBox Motors
3000kms Km,2023.0,,3500 cc,,,Petrol,Automatic,Unknown,,,5,AutoBox Motors
100kms Km,2023.0,,3300 cc,,,Diesel,Automatic,Unknown,,,5,AutoBox Motors
16000kms Km,2022.0,,3500 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
19000kms Km,2019.0,,2000 cc,,,Petrol Hybrid,Automatic,Unknown,,,4.5,AutoBox Motors
57000kms Km,2016.0,,5700 cc,,,Petrol,Automatic,Unknown,,,5,AutoBox Motors
4000kms Km,2023.0,,3300 cc,,,Diesel,Automatic,Unknown,,,5,AutoBox Motors
16000kms Km,2017.0,,1500 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
70000kms Km,2015.0,,1200 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
45000kms Km,2017.0,,1000 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
81000kms Km,2017.0,,2000cc cc,,,Petrol Hybrid,Automatic,Unknown,,,4.5,AutoBox Motors
52000kms Km,2017.0,,1300 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
36000kms Km,2017.0,,,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
52000kms Km,2017.0,,1300 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
50000kms Km,2017.0,,1400 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
,2022.0,,3500 cc,,,Petrol,Automatic,Unknown,,,5,AutoBox Motors
,,,,,,,,Unknown,,,,AutoBox Motors
57000kms Km,2016.0,,3500 cc,,,Diesel,Automatic,Unknown,,,4.5,AutoBox Motors
47000kms Km,2016.0,,2000 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
7000 Km,2023.0,,3300cc cc,,,Diesel,Automatic,Unknown,,,5,AutoBox Motors
78000kms Km,2018.0,,3000 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
,2020.0,,2000cc  cc,,,Petrol,Automatic,Unknown,,,5,AutoBox Motors
,2015.0,,1500 - VVT-I cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
,2015.0,,3500cc cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
,2015.0,,1200 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
,2015.0,,1200cc - TSI cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
,2015.0,,1800cc  - Valvematic cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
,2015.0,,2000cc  cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
,2015.0,,660cc cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
,2015.0,,3500 - V6 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
,2015.0,,660cc cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
,2015.0,,1200 - TSI cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
,2015.0,,1200 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
,2016.0,,4700cc - V8 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
,2015.0,,1500cc - VVTi cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
,2015.0,,1200cc - TSI cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
,2019.0,,4700cc - V8 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
,2013.0,,2000cc TDI cc,,,Diesel,Automatic,Unknown,,,4.5,AutoBox Motors
,2014.0,,200cc   cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
,2014.0,,2000 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
,2014.0,,1500 - VVT-i cc,,,Petrol Hybrid,Automatic,Unknown,,,4.5,AutoBox Motors
,2014.0,,3000 - V6 cc,,,Diesel,Automatic,Unknown,,,4.5,AutoBox Motors
,2013.0,,1800 - VVT-I cc,,,Petrol Hybrid,Automatic,Unknown,,,4.5,AutoBox Motors
,2015.0,,1500 - VVT-I cc,,,Petrol Hybrid,Automatic,Unknown,,,4.5,AutoBox Motors
,2015.0,,1500 - VVT-I cc,,,Petrol Hybrid,Automatic,Unknown,,,4.5,AutoBox Motors
,2015.0,,5600cc- V8 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
,2013.0,,1500 - VVT-i cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
,2013.0,,1300 - VVT-I cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
,2015.0,,4800 - V8 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
,2016.0,,5700cc - V8 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
,2015.0,,5600cc- V8 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
,2016.0,,4600cc - V8 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
,2015.0,,1500 - VVT-i cc,,,Petrol Hybrid,Automatic,Unknown,,,4.5,AutoBox Motors
,2015.0,,4000cc - V8 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
,2016.0,,1300 - VVT-I cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
,2016.0,,1500 - VVT-I cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
,2016.0,,1500 - VVT-I cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
,2015.0,,2000cc cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
,2015.0,,1500cc - VVTi cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
,2016.0,,1500 - VVT-I cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
,2015.0,,1500 - VVTI cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
,2015.0,,2400 - VVTI cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
,2016.0,,1500 - VVT-I cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
,2016.0,,2500 - V6 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
,2015.0,,1600 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
,2016.0,,4700cc - V8 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
,2015.0,,1200 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
,2016.0,,5700cc - V8 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
,2015.0,,3600cc - V6 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
,2015.0,,3600cc - V6 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
,2015.0,,2500 - V6 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
