Title,Year,Fuel Type,Engine,Transmission,Exterior Color,Interior Color,Drive,Mileage,Condition Grade,Interior Grade,Availability,Chassis Number,Details Link
Unknown,2017,Petrol,2000 cc,Automatic,Pearl White,Beige,2WD,N/A,4.5,B,In Stock,N/A,https://autoboxmotors.co.ke/listings/lexus-nx200t-mini-suv-used-petrol-2000-automatic-2017-in-stock/
Unknown,2017,Petrol,2000 cc,Automatic,Gray,Black,2WD,N/A,4.5,B,In Stock,N/A,https://autoboxmotors.co.ke/listings/mazda-cx-3-hatchback-used-petrol-2000-automatic-2017-in-stock/
Unknown,2023,Petrol,3500 cc,Automatic,Black,Black,4WD,1850 Km,6,A,In Stock,N/A,https://autoboxmotors.co.ke/listings/lexus-lx600-suv-new-petrol-3500-automatic-2023-in-stock-1850/
Unknown,2016,Petrol,5700 cc,Automatic,Pearl White,Beige,4WD,921 Km,4.5,B,In Stock,N/A,https://autoboxmotors.co.ke/listings/lexus-lx-570-suv-used-petrol-5700-automatic-2016-in-stock-921/
Unknown,2016,Petrol,5700 cc,Automatic,Silver,Gray,4WD,N/A,4.5,N/A,In Stock,N/A,https://autoboxmotors.co.ke/listings/lexus-lx-570-suv-used-petrol-5700-automatic-2016-in-stock/
Unknown,2017,Petrol,2500 cc,Automatic,Red,Gray,2WD,82700 Km,4.5,B,In Stock,N/A,https://autoboxmotors.co.ke/listings/mazda-cx-5-suv-used-petrol-2500-automatic-2017-in-stock-82700/
Unknown,2017,Petrol,2500 cc,Automatic,Gray,Beige,2WD,13600 Km,4.5,B,In Transit,N/A,https://autoboxmotors.co.ke/listings/mazda-cx-5-wagon-used-petrol-2500-automatic-2017-in-transit-13600/
Unknown,2017,Petrol,3600 cc,Automatic,Black,Jet Red,2WD,86780 Km,4.5,B,In Transit,N/A,https://autoboxmotors.co.ke/listings/porsche-cayenne-suv-new-petrol-3600-automatic-2017-in-transit-86780/
Unknown,2018,Petrol,2900 cc,Automatic,Blue,Gray,2WD,68600 Km,4.5,B,In Stock,WP1-5324,https://autoboxmotors.co.ke/listings/porsche-cayenne-suv-used-petrol-2900-automatic-2018-in-transit-68600/
Unknown,2017,Petrol Hybrid,3500 cc,Automatic,Pearl White,Beige,2WD,N/A,4.5,B,In Transit,N/A,https://autoboxmotors.co.ke/listings/lexus-rx450h-suv-used-petrol-hybrid-3500-automatic-2017-in-transit/
